source_file,sub_question,search_query,video_id,video_title,channel,video_published_at,video_view_count,video_like_count,comment_author,comment_text,comment_published_at,comment_like_count,video_url,comment_text_clean,word_count,language,tokens,tokens_joined
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@Wealthndiscipline,Hlo can you sell this account,2025-05-25T03:11:24Z,272,https://www.youtube.com/watch?v=V9fNA72-mBA,Hlo can you sell this account,6,en,"['hlo', 'sell', 'account']",hlo sell account
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@webaii,i cant teach you how to create prompt like this bruh,2026-05-02T05:21:18Z,0,https://www.youtube.com/watch?v=V9fNA72-mBA,i cant teach you how to create prompt like this bruh,11,en,"['cant', 'teach', 'create', 'prompt', 'bruh']",cant teach create prompt bruh
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@nils-s8w5v,This shit is geniune bullshit and all that it will ever be no matter how hard you defend this you will never EVER prove that this dumpster fire is good or funny its so STUPID using ai to make art of videos is called master bullshitsu delete this NOW,2026-04-24T05:54:36Z,1,https://www.youtube.com/watch?v=V9fNA72-mBA,This shit is geniune bullshit and all that it will ever be no matter how hard you defend this you will never EVER prove that this dumpster fire is good or funny its so STUPID using ai to make art of videos is called master bullshitsu delete this NOW,49,en,"['shit', 'geniune', 'bullshit', 'ever', 'matter', 'hard', 'defend', 'ever', 'prove', 'dumpster', 'fire', 'funny', 'stupid', 'called', 'master', 'bullshitsu', 'delete']",shit geniune bullshit ever matter hard defend ever prove dumpster fire funny stupid called master bullshitsu delete
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@RealEGod,"Do you think AI-generated cat art captures the same charm as real cat photos, or is there something irreplaceable about authentic feline moments?",2026-04-09T06:15:30Z,0,https://www.youtube.com/watch?v=V9fNA72-mBA,"Do you think AI-generated cat art captures the same charm as real cat photos, or is there something irreplaceable about authentic feline moments?",23,en,"['generated', 'captures', 'charm', 'real', 'photos', 'irreplaceable', 'authentic', 'feline', 'moments']",generated captures charm real photos irreplaceable authentic feline moments
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@RuangCuan-g5w,This is absolutely amazing—can’t stop looking at it!,2026-03-21T14:56:44Z,0,https://www.youtube.com/watch?v=V9fNA72-mBA,This is absolutely amazing—can’t stop looking at it!,8,en,"['absolutely', 'amazing', 'stop', 'looking']",absolutely amazing stop looking
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@ai_ayyyy,Waw very nice,2026-03-05T06:53:57Z,0,https://www.youtube.com/watch?v=V9fNA72-mBA,Waw very nice,3,en,"['waw', 'nice']",waw nice
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@ChloeDejesus-e3v,Uhh..? NOOO THE PIG!;; btw ai,2026-01-17T16:02:58Z,0,https://www.youtube.com/watch?v=V9fNA72-mBA,Uhh..? NOOO THE PIG!;; btw ai,6,en,"['uhh', 'nooo', 'pig', 'btw']",uhh nooo pig btw
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@Cottonx_Mallowz,I thinking BoMbArDiRo CrOcOdIlO 😭,2025-12-29T14:56:46Z,0,https://www.youtube.com/watch?v=V9fNA72-mBA,I thinking BoMbArDiRo CrOcOdIlO 😭,5,en,"['thinking', 'bombardiro', 'crocodilo']",thinking bombardiro crocodilo
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@AI_BJs,How tf this have almost a billion views wtf,2025-11-30T22:40:26Z,0,https://www.youtube.com/watch?v=V9fNA72-mBA,How tf this have almost a billion views wtf,9,en,"['tf', 'almost', 'billion', 'views', 'wtf']",tf almost billion views wtf
ai_art_Q3.json,Q3,ai art,V9fNA72-mBA,#kucing #catlovers #cat #aiart #kucinglucu #aigenerated #lucu #fyp #kucingoren #kucinggemoy #viral,AiXi,2025-03-30T19:23:43Z,294562167,1609719,@WillowaDummy33,Wtf is this AI slop🥀🥀😔😔,2025-11-22T14:03:40Z,0,https://www.youtube.com/watch?v=V9fNA72-mBA,Wtf is this AI slop🥀🥀😔😔,5,en,"['wtf', 'slop']",wtf slop
